model,rmse,mae,mape,n_train,n_test,params
ARIMA,46.161323580900756,35.038132970738005,69.64294180798701,884,221,"{""model"": ""ARIMA"", ""order"": [5, 1, 0], ""seasonal_order"": [0, 0, 0, 7], ""rmse"": 46.161323580900756, ""mae"": 35.038132970738005, ""mape"": 69.64294180798701, ""n_train"": 884, ""n_test"": 221}"
Prophet,51.88408068968768,37.46717176960784,73.41200483159875,884,221,"{""model"": ""Prophet"", ""rmse"": 51.88408068968768, ""mae"": 37.46717176960784, ""mape"": 73.41200483159875, ""n_train"": 884, ""n_test"": 221}"
XGBoost,32.398720656853435,24.82743852056425,50.79220784615979,872,219,"{""model"": ""XGBoost"", ""rmse"": 32.398720656853435, ""mae"": 24.82743852056425, ""mape"": 50.79220784615979, ""best_params"": {""learning_rate"": 0.059049697409605965, ""max_depth"": 5, ""n_estimators"": 480, ""subsample"": 0.7402532947282916, ""colsample_bytree"": 0.9232087269759844, ""reg_alpha"": 0.0001319681312306701, ""reg_lambda"": 8.262177051962459}, ""cv_rmse"": 34.594012480286935, ""n_train"": 872, ""n_test"": 219, ""n_features"": 18}"
LSTM,43.348420601051245,32.208206968902985,66.67027504660152,860,215,"{""model"": ""LSTM"", ""rmse"": 43.348420601051245, ""mae"": 32.208206968902985, ""mape"": 66.67027504660152, ""cfg"": {""lr"": 0.001, ""hidden"": 32, ""batch_size"": 32}, ""history"": [0.03947442891292794, 0.03954583788001838, 0.039084591333350065, 0.03906766411418803, 0.038854468337827824, 0.038686158813099836, 0.0382837388761666, 0.03796052826833182, 0.03753860944873518, 0.0369758921556205, 0.03617922991800295, 0.03507445657984601, 0.03362221163683722, 0.03191589190929906, 0.030961737785733832, 0.03046310455953457, 0.030298218957704397, 0.030187805788771994, 0.029990778983274635, 0.029908137883297926, 0.02989551982690775, 0.029787152794427996, 0.02964932369086314, 0.02972812716517049, 0.029684423139614825, 0.029575304960283315, 0.02967441405978256, 0.02969086453022594, 0.029799551132690998, 0.02983921230229181, 0.029876969837720774, 0.029901461316590276, 0.029924070951709337, 0.030102323415840782, 0.030229128590359013, 0.02992003054408602, 0.03006016817882426, 0.030260341418834852, 0.0306267643080259, 0.030389292015831255, 0.03027375955170728], ""n_train"": 860, ""n_test"": 215}"
Informer,45.35988848372161,32.38899430784446,57.02574701622971,859,215,"{""model"": ""Informer"", ""rmse"": 45.35988848372161, ""mae"": 32.38899430784446, ""mape"": 57.02574701622971, ""n_train"": 859, ""n_test"": 215}"
Transformer,44.12411855387204,31.617592516070626,58.09820227880374,860,215,"{""model"": ""Transformer"", ""rmse"": 44.12411855387204, ""mae"": 31.617592516070626, ""mape"": 58.09820227880374, ""n_train"": 860, ""n_test"": 215}"
