model,task,horizon_hours,aqi_bucket,n_samples,rmse,mae,mape
Prophet,seq6,1,35-75,1435,10.030416358051705,6.369421519108797,12.392496223260608
Prophet,seq6,1,75-115,913,9.826680737594588,6.091511688569173,6.626547520434167
Prophet,seq6,1,115-150,346,13.857104233908965,8.266168413140589,6.385658863271764
Prophet,seq6,1,>150,516,21.093691186262827,9.779716055007313,4.948852288174858
Prophet,seq6,2,0-35,2089,17.7212492871595,12.417060023386842,91.12849023066867
Prophet,seq6,2,35-75,1435,18.097974446991987,11.605640255091204,22.633915670012698
Prophet,seq6,2,75-115,913,16.008445477467138,10.718514540450228,11.684064003194583
Prophet,seq6,2,115-150,346,20.792270157479884,13.469734518630318,10.384177252589991
Prophet,seq6,2,>150,516,31.538471765598327,17.590503459522292,8.925189654371849
Prophet,seq6,3,0-35,2089,24.53033330165632,16.887746293336274,122.74689712260565
Prophet,seq6,3,35-75,1435,23.02506118395936,14.720999357663445,28.81920694403619
Prophet,seq6,3,75-115,913,19.982171393481956,13.890814408951321,15.070609500030423
Prophet,seq6,3,115-150,346,25.295404574288874,17.16633202101048,13.167378351417792
Prophet,seq6,3,>150,516,38.43247407632383,24.26465448309928,12.246786081901064
Prophet,seq6,4,0-35,2089,27.92886495969559,17.54461713920831,127.92891751656346
Prophet,seq6,4,35-75,1435,23.369035344534225,15.193739294234925,29.70189868216101
Prophet,seq6,4,75-115,913,22.428502305098515,16.23392490639019,17.540284109902124
Prophet,seq6,4,115-150,346,30.121553294374237,22.292222423030722,17.08612012899902
Prophet,seq6,4,>150,516,46.8971920052778,33.56389640490975,16.82947421824004
Prophet,seq6,5,0-35,2089,31.877592938006007,20.70231624267743,153.61783110517624
Prophet,seq6,5,35-75,1435,25.792874834713455,16.85171728150381,33.10074006817678
Prophet,seq6,5,75-115,913,23.53865844846299,17.569628278007105,18.982008801595633
Prophet,seq6,5,115-150,346,33.29232498334,26.14669668698289,20.052631818543208
Prophet,seq6,5,>150,516,53.662516546746765,40.84664863907123,20.438477668666387
Prophet,seq6,6,0-35,2088,33.60196580328986,21.51558091923613,161.54700260264028
Prophet,seq6,6,35-75,1435,25.804735800196397,16.90198036384142,33.096632793667595
Prophet,seq6,6,75-115,913,24.76276620930894,19.255874008198944,20.772483177544004
Prophet,seq6,6,115-150,346,38.20510174641766,31.749308044095393,24.32664430423503
Prophet,seq6,6,>150,516,62.48891145490665,50.64613426331885,25.322889018865013
Transformer,h1,1,0-35,2071,7.641827362480277,2.9233321602479205,20.379953024664268
Transformer,h1,1,35-75,1406,7.951187412920492,4.927834919133193,9.39741933924484
