model,task,horizon_hours,rmse,mae,mape,n_samples,notes
XGBoost,h1,1,11.293030987769619,5.1449187269872585,11.418320297487815,5299,"best_iteration=239,train_time_s=4.9,tuned=False,stage=first"
XGBoost,seq6,1,11.293030987769619,5.1449187269872585,11.418320297487815,5299,"direct_multi_horizon,tuned=False,stage=first,h1:best_iteration=239,train_time_s=5.8;h2:best_iteration=137,train_time_s=3.6;h3:best_iteration=112,train_time_s=2.6;h4:best_iteration=118,train_time_s=3.6;h5:best_iteration=92,train_time_s=2.3;h6:best_iteration=93,train_time_s=2.5"
XGBoost,seq6,2,17.609678644819446,9.051726792064928,20.457295957468403,5299,"direct_multi_horizon,tuned=False,stage=first,h1:best_iteration=239,train_time_s=5.8;h2:best_iteration=137,train_time_s=3.6;h3:best_iteration=112,train_time_s=2.6;h4:best_iteration=118,train_time_s=3.6;h5:best_iteration=92,train_time_s=2.3;h6:best_iteration=93,train_time_s=2.5"
XGBoost,seq6,3,22.980161499873866,12.918082801032076,31.364592587144497,5299,"direct_multi_horizon,tuned=False,stage=first,h1:best_iteration=239,train_time_s=5.8;h2:best_iteration=137,train_time_s=3.6;h3:best_iteration=112,train_time_s=2.6;h4:best_iteration=118,train_time_s=3.6;h5:best_iteration=92,train_time_s=2.3;h6:best_iteration=93,train_time_s=2.5"
XGBoost,seq6,4,27.480355541779698,16.18586119108191,41.88483778527389,5299,"direct_multi_horizon,tuned=False,stage=first,h1:best_iteration=239,train_time_s=5.8;h2:best_iteration=137,train_time_s=3.6;h3:best_iteration=112,train_time_s=2.6;h4:best_iteration=118,train_time_s=3.6;h5:best_iteration=92,train_time_s=2.3;h6:best_iteration=93,train_time_s=2.5"
XGBoost,seq6,5,30.87540130171616,18.987110885398955,53.280235765434114,5299,"direct_multi_horizon,tuned=False,stage=first,h1:best_iteration=239,train_time_s=5.8;h2:best_iteration=137,train_time_s=3.6;h3:best_iteration=112,train_time_s=2.6;h4:best_iteration=118,train_time_s=3.6;h5:best_iteration=92,train_time_s=2.3;h6:best_iteration=93,train_time_s=2.5"
XGBoost,seq6,6,33.65325336622322,21.428887991156483,64.0889426232832,5298,"direct_multi_horizon,tuned=False,stage=first,h1:best_iteration=239,train_time_s=5.8;h2:best_iteration=137,train_time_s=3.6;h3:best_iteration=112,train_time_s=2.6;h4:best_iteration=118,train_time_s=3.6;h5:best_iteration=92,train_time_s=2.3;h6:best_iteration=93,train_time_s=2.5"
