model,horizon_hours,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,1,930,14.818949294078152,9.561997081114775,4.718058789035222,9.561997081114775
ARIMA,12,930,52.04060395845197,48.99309768574747,22.976394273555233,48.99309768574747
LSTM,1,930,15.881387050637727,10.391882477419356,5.024290280316796,10.391882477419356
LSTM,12,930,121.2868972281531,114.25545967741935,53.07089552817828,114.25545967741935
Transformer,1,930,16.01087611457169,10.433748606451614,5.053953928988325,10.433748606451614
Transformer,12,930,68.6459858853341,52.99622165591397,24.790430681927404,52.99622165591397
XGBoost,1,930,15.339824521839382,9.860451306451614,4.8431880188772505,9.860451306451614
XGBoost,12,930,77.524175992144,65.92209799569892,30.510263837590863,65.92209799569892
